"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 11 06:03:30 UTC 2024","Sat May 11 06:03:48 UTC 2024","17777","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Sat May 11 06:03:12 UTC 2024","Sat May 11 06:03:30 UTC 2024","17294","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"skipped","Sat May 11 06:23:45 UTC 2024","Sat May 11 06:23:45 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Sat May 11 06:38:09 UTC 2024","Sat May 11 06:38:19 UTC 2024","9434","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"skipped","Sat May 11 06:00:46 UTC 2024","Sat May 11 06:00:46 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Sat May 11 06:38:42 UTC 2024","Sat May 11 06:38:54 UTC 2024","12740","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Sat May 11 06:51:14 UTC 2024","Sat May 11 06:51:18 UTC 2024","4285","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Sat May 11 06:50:48 UTC 2024","Sat May 11 06:51:02 UTC 2024","13773","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Sat May 11 05:40:49 UTC 2024","Sat May 11 05:41:53 UTC 2024","63750","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Sat May 11 05:43:21 UTC 2024","Sat May 11 05:43:35 UTC 2024","14430","","9. Client Portal - Home","","","","1. Check links",""
"passed","Sat May 11 06:44:19 UTC 2024","Sat May 11 06:48:35 UTC 2024","255449","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Sat May 11 06:51:02 UTC 2024","Sat May 11 06:51:12 UTC 2024","9816","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Sat May 11 06:38:21 UTC 2024","Sat May 11 06:38:24 UTC 2024","2684","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Sat May 11 07:25:01 UTC 2024","Sat May 11 07:25:22 UTC 2024","20947","","21. Forgot password function","","","","2. Reset password",""
"passed","Sat May 11 06:05:18 UTC 2024","Sat May 11 06:05:32 UTC 2024","14788","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"skipped","Sat May 11 06:00:46 UTC 2024","Sat May 11 06:00:46 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"skipped","Sat May 11 06:23:45 UTC 2024","Sat May 11 06:23:45 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Sat May 11 06:38:26 UTC 2024","Sat May 11 06:38:31 UTC 2024","4208","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Sat May 11 06:38:19 UTC 2024","Sat May 11 06:38:21 UTC 2024","2377","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"broken","Sat May 11 08:22:07 UTC 2024","Sat May 11 08:22:07 UTC 2024","2","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"skipped","Sat May 11 06:23:45 UTC 2024","Sat May 11 06:23:45 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Sat May 11 07:24:53 UTC 2024","Sat May 11 07:25:01 UTC 2024","7878","","21. Forgot password function","","","","1. Direct to forgot password page",""
"skipped","Sat May 11 08:22:07 UTC 2024","Sat May 11 08:22:07 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Sat May 11 06:03:30 UTC 2024","Sat May 11 06:03:30 UTC 2024","185","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"broken","Sat May 11 06:00:46 UTC 2024","Sat May 11 06:00:46 UTC 2024","2","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Sat May 11 06:05:33 UTC 2024","Sat May 11 06:05:38 UTC 2024","4841","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"skipped","Sat May 11 08:22:07 UTC 2024","Sat May 11 08:22:07 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"skipped","Sat May 11 08:22:07 UTC 2024","Sat May 11 08:22:07 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"skipped","Sat May 11 08:22:07 UTC 2024","Sat May 11 08:22:07 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Sat May 11 06:51:12 UTC 2024","Sat May 11 06:51:14 UTC 2024","2462","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"failed","Sat May 11 06:27:36 UTC 2024","Sat May 11 06:27:54 UTC 2024","18382","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"skipped","Sat May 11 06:00:46 UTC 2024","Sat May 11 06:00:46 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"skipped","Sat May 11 06:00:46 UTC 2024","Sat May 11 06:00:46 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Sat May 11 06:38:40 UTC 2024","Sat May 11 06:38:42 UTC 2024","1687","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"broken","Sat May 11 06:23:45 UTC 2024","Sat May 11 06:23:45 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"skipped","Sat May 11 06:23:45 UTC 2024","Sat May 11 06:23:45 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"failed","Sat May 11 06:39:05 UTC 2024","Sat May 11 06:41:37 UTC 2024","151678","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Sat May 11 06:02:55 UTC 2024","Sat May 11 06:03:12 UTC 2024","17185","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"skipped","Sat May 11 06:00:46 UTC 2024","Sat May 11 06:00:46 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Sat May 11 06:38:31 UTC 2024","Sat May 11 06:38:40 UTC 2024","9258","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Sat May 11 06:38:54 UTC 2024","Sat May 11 06:39:05 UTC 2024","10413","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Sat May 11 06:05:38 UTC 2024","Sat May 11 06:05:40 UTC 2024","1350","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"skipped","Sat May 11 08:22:07 UTC 2024","Sat May 11 08:22:07 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"skipped","Sat May 11 06:00:46 UTC 2024","Sat May 11 06:00:46 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Sat May 11 06:05:32 UTC 2024","Sat May 11 06:05:33 UTC 2024","982","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Sat May 11 06:38:24 UTC 2024","Sat May 11 06:38:26 UTC 2024","2382","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Sat May 11 06:44:06 UTC 2024","Sat May 11 06:44:19 UTC 2024","13485","","18. Check Admin header","","","","1. Log in using manager login",""
"skipped","Sat May 11 06:00:46 UTC 2024","Sat May 11 06:00:46 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"skipped","Sat May 11 06:23:45 UTC 2024","Sat May 11 06:23:45 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
